agent	commit	val_loss	peak_vram_mb	num_steps	status	description
hawaii	cdaa21f	1.789701	37496.8	342	keep	baseline: unmodified train.py
umibozu	baseline	1.759396	37496.8	333	keep	baseline: no changes, establishing reference val_loss
karakuri	cdaa21f	1.820543	37496.8	318	keep	baseline: no changes, default hyperparams
osaka	cdaa21f	1.787379	37496.8	359	keep	baseline: unmodified train.py, BS=64, D=384, 12 blocks, 24 heads
hawaii	aaacad1	1.946963	37496.8	348	discard	issue #4 zero-init modulation+output: regression, model too slow to warm up in 342 steps
umibozu	e00a811	2.284527	37496.8	347	discard	zero-init all residual paths + modulation (too aggressive, converges slower)
karakuri	79316ec	2.324399	37496.8	341	discard	zero-init modulation+O+down projections (too aggressive for short training)
osaka	2d7a67f	2.317050	37496.8	362	discard	exp1: warmup=50 (too short, LR decayed too fast)
umibozu	d9c1062	1.799373	37496.8	347	discard	targeted init: zero-init modulation weight, gate bias=1 (marginally worse)
hawaii	cf6b63b	2.667020	37538.9	357	discard	issue #2 x-pred with v-loss: 1/t^2 weighting too aggressive, unstable training
karakuri	c60b6cf	1.806985	37496.8	333	keep	reduced warmup to 50 steps, set max_steps=350 for proper cosine decay
osaka	e0e27ae	4.203935	37582.9	362	discard	exp2: EMA decay=0.999 (too slow to converge in 362 steps)
karakuri	a065b11	1.541348	30369.6	637	keep	batch_size=32, warmup=50, max_steps=700, more optimization steps
hawaii	89b9571	1.734586	37496.8	356	keep	fix cosine LR schedule: max_steps=350 enables proper decay (was 999999)
umibozu	fdf3614	1.829055	37496.8	342	discard	cos() gate in GEGLU replacing SiLU (Issue #1, worse)
osaka	9420130	1.888385	37582.9	361	discard	exp3: EMA decay=0.99 start=200 (marginal, still worse than baseline)
karakuri	eb49b8d	1.456983	30293.7	1217	keep	batch_size=16, warmup=50, max_steps=1300, 1217 steps
hawaii	554a874	1.733053	37496.8	356	keep	warmup=100 + max_steps=350: slight improvement over warmup=200
osaka	1dcdae6	1.515759	30468.9	527	keep	exp4: N_BLOCKS=8 warmup=150, more steps compensate for less capacity
karakuri	0fa72d9	1.436804	7929.8	1759	keep	N_WINDOW=15, BS=16, warmup=50, max_steps=2500: halved context for more steps
hawaii	94e55f3	1.458141	30204.9	1166	keep	BS=16 + N_BLOCKS=8: ties best but fewer params/vram, 27.9M params
umibozu	e18ac23	1.421517	30247.8	2222	keep	BS=8 warmup=50 max_steps=2500, 2222 steps — new best
osaka	aa09684	1.445089	30206.2	1931	keep	exp5: N_BLOCKS=8 BS=16 warmup=50 max_steps=1800, fewer blocks for more steps
karakuri	4d81042	1.426591	7900.3	4008	keep	N_WINDOW=15, BS=8, warmup=50, max_steps=4000: tiny batch + short context
hawaii	36112f1	1.482173	7929.9	2520	discard	N_WINDOW=15 + higher LR (0.03/5e-4): LR too high, training unstable
umibozu	a45b344	1.430209	30222.8	3879	discard	BS=4 warmup=30 max_steps=4000, 3879 steps — too noisy, regression
osaka	9a9d1e3	1.420826	30162.4	3635	keep	exp6: BS=8 N_BLOCKS=8 warmup=50 max_steps=3500, 3635 steps — new best
hawaii	1f2304b	1.415682	7929.7	2627	keep	min-SNR loss weighting (gamma=5) + N_WINDOW=15 BS=16: new best
karakuri	61e3752	1.398715	30247.8	2263	keep	N_WINDOW=30, BS=8, warmup+constant+cosine LR (50 warmup, 60% constant, 40% decay)
umibozu	8696bbd	1.420770	13708.4	3361	keep	N_WINDOW=20 BS=8 warmup=50 max_steps=3200, 3361 steps — marginal new best
osaka	3d9123f	1.411150	30117.5	4851	keep	exp7: N_BLOCKS=6 BS=8 warmup=50 max_steps=4500, 4851 steps — new global best
hawaii	c285caf	1.404142	30248.0	2378	keep	min-SNR + BS=8 + warmup+constant+cosine LR: improvement over own best
karakuri	cdcce6a	1.495922	30247.6	1738	discard	LR1=0.025 LR2=4e-4 constant_fraction=0.7: higher LR caused instability, regression
umibozu	f596cad	1.403580	30248.2	2346	keep	combine warmup+const+cosine LR + min-SNR gamma=5 + BS=8 N_WINDOW=30
osaka	d9dde69	1.383034	30117.5	4893	keep	exp8: N_BLOCKS=6 BS=8 + warmup+constant+cosine LR (0.02/3e-4), 4893 steps — new global best
hawaii	ad37bca	1.387525	30117.9	4790	keep	min-SNR + N_BLOCKS=6 + BS=8 + warmup+constant+cosine LR: new global best
karakuri	636816a	1.482102	8134.0	1131	discard	N_HEADS=6 (d_head=64): fewer heads much slower, worse convergence
umibozu	c8b9ab7	1.423938	13709.6	3388	discard	N_WINDOW=20 BS=8 + warmup+const+cosine LR max_steps=3200 — LR schedule + short context dont synergize
osaka	687e0f1	1.390028	30074.1	7045	discard	exp9: N_BLOCKS=4 BS=8 constant+cosine LR, 7045 steps — too small (regression)
hawaii	b96f22b	1.382570	30117.5	4848	keep	N_BLOCKS=6 BS=8 warmup+const+cosine LR + action_dropout=0.1: new global best
karakuri	2cd2b48	1.463209	30138.8	1843	discard	N_BLOCKS=6 EXPANSION=6: wider FFN too slow (1843 vs 4800 steps)
umibozu	616542e	1.380039	30117.5	4626	keep	N_BLOCKS=6 BS=8 + const+cosine LR + GRAD_CLIP=3.0 — new global best
osaka	e3e01eb	1.379740	30096.5	5782	keep	exp10: N_BLOCKS=5 BS=8 constant+cosine LR, 5782 steps — new global best
hawaii	502ffbf	1.378150	7769.4	8757	keep	N_WINDOW=15 N_BLOCKS=6 BS=8 action_dropout=0.1 warmup+const+cosine: new global best
karakuri	a6928c5	1.474325	30118.6	1997	discard	N_BLOCKS=6 wider time sampling (1.5x): wider distribution hurt convergence
umibozu	2d7e84d	1.378439	30118.6	4508	keep	N_BLOCKS=6 BS=8 + GRAD_CLIP=3.0 + action_dropout=0.1 + const+cosine LR — new global best
osaka	28e7824	1.379923	30096.5	5632	discard	exp11: N_BLOCKS=5 + GRAD_CLIP=3 + dropout=0.1, neutral (tied with exp10)
hawaii	2e09c46	1.386338	7769.4	8985	discard	N_WINDOW=15 N_BLOCKS=6 BS=8 + GRAD_CLIP=3.0: tighter clipping hurt with short context
karakuri	5758e24	1.436844	7750.7	4533	discard	N_WINDOW=15 N_BLOCKS=5 + all tweaks: too little capacity, GPU contention limited steps
umibozu	31b2bdd	1.383915	30118.6	4652	discard	LR1=0.025 + GRAD_CLIP=3.0 + action_dropout=0.1 + N_BLOCKS=6 — higher LR hurt
osaka	35a0b76	1.388503	30094.4	5787	discard	exp12: N_BLOCKS=5 + min-SNR gamma=5 — regression (training loss lower but val_loss higher)
